NUTS_CODE,x,y
DE26B,3590381.332276901,5543035.158457476
DE26C,3566926.463708256,5511613.287407086
DE271,3639835.8005923573,5358131.866311679
DE272,3620954.882657111,5305903.468954904
DE273,3598186.1137815826,5289708.599240237
DE274,3586902.230291503,5316280.506165758
DE275,3651987.06617326,5367549.414068917
DE276,3628435.382395964,5358801.082203965
DE277,3612766.192481968,5385432.564114029
DE278,3602445.0866552433,5358128.436865067
DE279,3584748.893483985,5351763.942036232
DE27A,3566458.0460397373,5274470.154274737
DE27B,3622986.298939197,5293677.992292313
DE27C,3603650.4554756572,5323341.165229514
DE27D,3625879.4297126615,5409122.586628632
DE27E,3594771.2718103016,5271210.191295543
DE300,3798926.3035040605,5827828.187334799
DE401,3739564.2822811683,5813558.664020296
DE402,3870357.395061485,5751240.870331461
DE403,3874256.7521200976,5813253.4984126985
DE404,3774065.9693525773,5817963.526828274
DE405,3817041.969048386,5864866.729500459
DE406,3830729.765326091,5778557.60128392
DE407,3808930.4563639266,5729183.112271136
DE408,3745774.0777906505,5838188.461103034
DE409,3848622.229463926,5842865.105830329
DE40A,3782948.911462639,5872042.401921234
DE40B,3842373.807588456,5731755.783434147
DE40C,3856491.776475439,5802902.5506332135
DE40D,3744197.696725457,5879384.535308144
DE40E,3751994.432711615,5796709.3386590155
DE40F,3698392.640173307,5890446.642473508
DE40G,3875075.8869874403,5750000.961482206
DE40H,3793193.671719361,5779643.322526821
DE40I,3824789.0868959357,5908136.382952238
DE501,3485413.5148363244,5887445.37550857
DE502,3472651.1027799677,5934148.359063868
DE600,3567421.0734885586,5935581.968010124
DE711,3475984.841164926,5527279.387955214
DE712,3474621.2113008504,5553585.986342629
DE713,3484390.414288521,5550564.887947463
DE714,3447136.025756985,5549477.266696235
DE715,3475534.590899204,5497935.979924368
DE716,3485352.872500281,5524354.1427052505
DE717,3462017.981511826,5529896.933688854
DE718,3464774.96066048,5571843.731011669
DE719,3520462.256693517,5567580.825597655
DE71A,3459619.9356965125,5551965.4585875375
DE71B,3498596.0607552854,5503869.089424306
DE71C,3486552.9395719515,5542838.128127632
DE71D,3434368.198114484,5556598.642285243
DE71E,3493506.5729099275,5579877.386999473
DE721,3486443.677421559,5603853.162299085
DE722,3455205.213828219,5612684.563317824
DE723,3443188.452284649,5588250.058106656
DE724,3481619.296254432,5633534.244321367
